"fmisid","region","iso2","name","latitude","longitude"
104161,"Lahti","FI","Lahti Tori",60.9838219,25.6553097
103134,"Lahti","FI","Lahti Vesku 11",60.9838905,25.6621799
104094,"Lahti","FI","Lahti Yrittäjänkatu",60.9851494,25.7263203
104362,"Lappeenranta","FI","Lappeenrannan keskusta",61.0555687,28.1847095
104018,"Lappeenranta","FI","Lappeenrannan keskusta 2",61.0594101,28.1951599
104043,"Lappeenranta","FI","Lappeenrannan keskusta 3",61.0592117,28.2276802
103114,"Lappeenranta","FI","Lappeenranta Ihalainen",61.0408211,28.1765003
107563,"Lappeenranta","FI","Lappeenranta Ihalainen 2",61.0387917,28.1763496
103115,"Lappeenranta","FI","Lappeenranta Joutsenon keskusta",61.1170883,28.4984894
103116,"Lappeenranta","FI","Lappeenranta keskusta 4",61.0557594,28.1843109
103117,"Lappeenranta","FI","Lappeenranta Lauritsala",61.0719414,28.2640896
107379,"Lappeenranta","FI","Ojala-Tuomela",61.0343399,28.2124100
104262,"Lappeenranta","FI","Lappeenranta Palolaitos, Joutseno",61.1122513,28.4847107
103120,"Lappeenranta","FI","Lappeenranta Pulp",61.1253586,28.4507809
104357,"Lappeenranta","FI","Lappeenranta Pulpin kirjasto",61.1223602,28.4462891
104306,"Lappeenranta","FI","Lappeenranta Pulpin K-lähikauppa",61.1236115,28.4469109
103123,"Lappeenranta","FI","Lappeenranta Tirilä Pekkasenkatu",61.0574799,28.2458496
107147,"Lohja","FI","Lohja Harjula",60.2490311,24.0694695
104106,"Lohja","FI","Lohja, Keskusta",60.2503891,24.0629101
107543,"Lohja","FI","Lohja Moisio",60.2529411,24.0786095
104331,"Lohja","FI","Lohja Nahkurintori",60.2512703,24.0629196
103144,"Lohja","FI","Lohja Nahkurintori 2",60.2514496,24.0628700
104353,"Lohja","FI","Lohja Virkkalan terveysasema",60.1884613,23.9984207
104330,"Luoto","FI","Luoto Risö",63.7185783,22.7521400
103153,"Luoto","FI","Luoto Vikarholmen",63.7028694,22.7647305
105404,"Maarianhamina","FI","Österleden",60.1041718,19.9449291
103149,"Mikkeli","FI","Mikkeli Porrassalmenkatu",61.6863594,27.2733402
103984,"Mikkeli","FI","Mikkeli Vilhonkatu",61.6862717,27.2723904
104149,"Naantali","FI","Naantali Karvetti",60.4789314,22.0504704
100824,"Naantali","FI","Naantali keskusta Asematori",60.4674416,22.0284004
104077,"Närpiö","FI","Närpiö 2",62.4726982,21.3360806
104334,"Närpiö","FI","Närpiö Piolahti",62.3840904,21.3671703
104097,"Lahti","FI","Nastola Kukkasen koulu",60.9489784,25.9088306
103125,"Oulu","FI","Oulu keskusta 2",65.0099716,25.4713192
104286,"Oulu","FI","Oulu Mustasuo",65.0517273,25.4443398
104128,"Oulu","FI","Oulun keskusta",65.0100327,25.4734802
103124,"Oulu","FI","Oulu Nokela",64.9947281,25.4792595
103126,"Oulu","FI","Oulu Pyykösjärvi",65.0433807,25.4979000
104130,"Oulu","FI","Oulu Simssi",65.0405273,25.4553795
104129,"Oulu","FI","Oulu Välivainio",65.0330582,25.4887199
104064,"Suomi","FI","Parainen",60.2967796,22.2992706
100843,"Parainen","FI","Parainen Parainen",60.3037186,22.2829399
103152,"Pietarsaari","FI","Pietarsaari Bottenviksvägen",63.6791191,22.7183704
103979,"Pietarsaari","FI","Pietarsaari Korsgrundet",63.6933098,22.6954899
104288,"Pori","FI","Pori Ahlainen",61.6751518,21.6187096
104000,"Pori","FI","Pori Aittaluoto",61.4897995,21.8088608
104208,"Pori","FI","Pori Itätulli",61.4824295,21.7984505
104101,"Pori","FI","Pori Itätulli 2",61.4827003,21.7996902
103136,"Pori","FI","Pori keskusta",61.4826012,21.7996807
106420,"Pori","FI","Pori Paanakedonkatu",61.4822617,21.8132896
103135,"Pori","FI","Pori Pastuskeri",61.6632500,21.4548397
104214,"Porvoo","FI","Porvoo Kiiala N-17",60.4078789,25.6160297
104029,"Porvoo","FI","Porvoo Mannerheiminkatu",60.3944283,25.6606903
103139,"Porvoo","FI","Porvoo Mustijoki",60.3600502,25.5660496
103140,"Porvoo","FI","Porvoo Nyby",60.3171806,25.5018291
104308,"Porvoo","FI","Porvoo Riemari",60.3208199,25.5411701
103141,"Porvoo","FI","Porvoo Svartbäck",60.2872581,25.5108299
107625,"Porvoo","FI","Porvoo Vanha Porvoo",60.3981895,25.6604996
103147,"Raahe","FI","Raahe keskusta",64.6833725,24.4816208
103145,"Raahe","FI","Raahe Lapaluoto",64.6676865,24.4192791
103146,"Raahe","FI","Raahe Merikatu",64.6767120,24.4689808
104315,"Raahe","FI","Raahe Ollinsaari",64.6793518,24.4993896
104314,"Raahe","FI","Raahe Saloinen",64.6532593,24.4545898
104294,"Raahe","FI","Raahe Varikko",64.6766968,24.4689503
106630,"Raisio","FI","Raisio Ihala",60.4703789,22.1902008
104347,"Raisio","FI","Raisio Kaanaa",60.4692802,22.1089096
100804,"Raisio","FI","Raisio Kaanaan koulu",60.4684601,22.1052303
100844,"Raisio","FI","Raisio keskusta",60.4822502,22.1655006
104361,"Rauma","FI","Rauma Sampaanala 2",61.1074219,21.4920807
778578,"Rauma","FI","Rauma Sinisaari",61.1246986,21.4934292
103113,"Rauma","FI","Rauma Tarvonsaari Hallikatu",61.1298599,21.4997005
103815,"Rovaniemi","FI","Rovaniemi Etelärinne",66.5072784,25.6940899
107620,"Rovaniemi","FI","Mellakuja",66.5156937,25.6559105
103816,"Rovaniemi","FI","Rovaniemi Rovakatu",66.5000381,25.7269993
104045,"Savonlinna","FI","Savonlinna Olavinkatu",61.8705902,28.8761292
104268,"Seinäjoki","FI","Seinäjoki Vapaudentie",62.7875214,22.8343201
103110,"Seinäjoki","FI","Seinäjoki Vapaudentie 6a",62.7781982,22.8394794
